	shannon	simpson	observed_species	PD_whole_tree
700033789	3.45364683477	0.796487119464	325.0	17.41756
700110415	3.1752776967	0.756217491124	278.0	15.18174
700114832	4.37271299502	0.894195074503	224.0	12.87872
700099121	4.01274283338	0.746859397581	310.0	20.31677
700108086	5.26138010029	0.943488964528	629.0	28.7437
700110349	4.60653490267	0.922493589423	231.0	11.17775
700102581	1.93374609181	0.548304073216	112.0	8.11341
700037714	2.65953531482	0.516540493451	317.0	17.02389
700110808	3.00322418935	0.665793738497	194.0	14.73341
700038795	2.87402521901	0.647649707678	293.0	17.53125
700016099	5.48261801226	0.940028163778	422.0	26.04856
700102647	0.820428510584	0.148419580753	173.0	13.41884
700024001	3.41608339756	0.737053632696	265.0	15.2194
700106052	1.95621171685	0.512059845593	151.0	12.05783
700107977	3.18401941786	0.712748786361	123.0	10.33359
700038736	3.39898293002	0.845942009579	191.0	12.44161
700114649	4.14989723134	0.890993775067	220.0	12.45943
700024701	4.03986041864	0.877758375084	406.0	23.22345
700110748	3.32718508913	0.791126965423	395.0	22.60866
700097163	3.24662248924	0.691764239745	236.0	13.85497
700098589	5.60256773046	0.952342055014	506.0	27.79376
700107806	3.24489548472	0.688604998075	241.0	14.85678
700100647	2.58032000668	0.580920417926	237.0	15.69677
700016059	7.58107379962	0.987441730429	798.0	29.52675
700038938	7.24418075003	0.984298124416	687.0	28.31838
700111604	7.22529208988	0.98676032562	574.0	24.19535
700099617	6.02501251603	0.957103050926	648.0	26.35307
700037732	6.19366385178	0.961240739115	538.0	21.75869
700106916	5.73351726852	0.954382261172	378.0	14.35879
700038998	5.72335828502	0.943259260307	799.0	30.98869
700103587	7.15884218429	0.98020177423	631.0	24.87263
700105705	7.30765906322	0.987322441862	605.0	24.88404
700016333	7.55015787056	0.983571651563	826.0	31.2401
700114854	7.38159722818	0.982591961252	749.0	27.5385
700114747	7.58750692583	0.986930954103	791.0	30.88514
700111532	6.75258031737	0.974488009909	578.0	26.0778
700110689	6.74390818832	0.970520860415	663.0	26.3064
700016374	8.10732696868	0.992955763389	936.0	34.01218
700105480	3.17965735013	0.692239866371	105.0	7.14214
700106617	6.57928762125	0.975241003005	370.0	18.52204
700037702	4.63280574877	0.912023845998	502.0	24.67006
700014994	7.31496635756	0.986394455254	721.0	30.85586
700111841	6.38388175495	0.972775839023	450.0	19.25443
700103623	6.94248439533	0.982214318189	595.0	26.7076
700102924	6.64419003689	0.975939732974	607.0	27.14814
700114444	2.86103786756	0.734487249834	146.0	9.90453
700023477	7.79430596259	0.984546602229	1319.0	54.64593
700110746	6.38219535569	0.9736435889	621.0	21.91491
700095429	6.83012542892	0.974435319367	801.0	35.18454
700038978	7.62184913279	0.984488812278	1469.0	65.83581
700032671	6.05973240773	0.956189943467	306.0	13.29946
700103517	6.49316363081	0.97560712496	452.0	22.38713
700109608	6.87790984555	0.982317576281	422.0	20.52448
700112030	6.21320238792	0.972921546227	342.0	17.52501
700099408	6.87192193582	0.980377348324	571.0	24.91053
700034934	6.08965360434	0.934867024999	463.0	24.42853
700035264	5.95757419721	0.955590314392	376.0	18.65657
700109551	6.27483118176	0.972551882488	455.0	19.31666
700035184	6.83778768342	0.980333003565	440.0	20.93385
700034196	5.95919052419	0.929141860004	406.0	20.1497
700101269	6.65897669474	0.977874686218	551.0	22.97096
700097718	6.70827780295	0.972897231355	589.0	24.78645
700108145	4.66299640177	0.909895372042	382.0	25.36674
700097781	5.81936479215	0.948539383126	314.0	15.48803
700114767	6.91835617611	0.977613836164	875.0	32.91248
700097477	3.99328549785	0.883454520233	161.0	10.98421
700106089	3.34108866326	0.825744396105	168.0	10.91198
